Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
INTENTECH,INTENSE TECHNOLOGIES LTD,INE781A01025,NSE,BE,INTENTECH.NS
INTERARCH,INTERARCH BLDNG SOLTN LTD,INE00M901018,NSE,BE,INTERARCH.NS
INTERNET,MIRAEAMC - INTERNET,INF769K01PB6,NSE,EQ,INTERNET.NS
INTLCONV,INTL CONVEYORS LIMITED,INE575C01027,NSE,BE,INTLCONV.NS
INTLTRAVHS,INTL TRAVEL HOUSE,INE262B01016,NSE,BE,INTLTRAVHS.NS
INVELTRANS,GKN DRIVESHAFTS(I)LTD,INE527A01014,NSE,BE,INVELTRANS.NS
INVENTURE,INVENTURE GRO & SEC LTD,INE878H01024,NSE,BE,INVENTURE.NS
IOB,IOB,INE565A01014,NSE,BE,IOB.NS
IOC,INDIAN OIL CORPLTD-DEP SE,INE242A01010,NSE,BE,IOC.NS
IOLCP,IOL CHEM AND PHARMA LTD,INE485C01029,NSE,BE,IOLCP.NS
IONEXCHANG,ION EXCHANGE (INDIA) LTD,INE570A01022,NSE,BE,IONEXCHANG.NS
IPCALAB,IPCA LABS LTD,INE571A01038,NSE,BE,IPCALAB.NS
IPHL,INDIAN PHOSPHATE LIMITED,INE0DHF01018,NSE,SM,IPHL.NS
IPL,INDIA PESTICIDES LIMITED,INE0D6701023,NSE,BE,IPL.NS
IPRINGS,IP RINGS LTD,INE558A01019,NSE,BE,IPRINGS.NS
IPSL,INTEGRATED PERSO SER LTD,INE02EE01019,NSE,SM,IPSL.NS
IRB,IRB INFRA DEV LTD.,INE821I01022,NSE,BE,IRB.NS
IRCON,IRCON INTERNATIONAL LTD,INE962Y01021,NSE,BE,IRCON.NS
IRCTC,INDIAN RAIL TOUR CORP LTD,INE335Y01020,NSE,BE,IRCTC.NS
IREDA,INDIAN RENEWABLE ENERGY,INE202E01016,NSE,BE,IREDA.NS
IRFC,INDIAN RAILWAY FIN CORP L,INE053F01010,NSE,BE,IRFC.NS
IRIS,IRIS BUSINESS SERV LTD,INE864K01010,NSE,BE,IRIS.NS
IRISDOREME,IRIS CLOTHINGS LIMITED,INE01GN01025,NSE,BE,IRISDOREME.NS
IRISDOREME,IRIS CLOTHINGS LIMITED,INE01GN01017,NSE,SM,IRISDOREME.NS
IRMENERGY,IRM ENERGY LIMITED,INE07U701015,NSE,BE,IRMENERGY.NS
ISEC,ICICI SECURITIES LIMITED,INE763G01038,NSE,BE,ISEC.NS
ISFT,INTRASOFT TECH. LTD,INE566K01011,NSE,BE,ISFT.NS
ISGEC,ISGEC HEAVY ENG LTD,INE858B01029,NSE,BE,ISGEC.NS
ISHAN,ISHAN INTERNATIONAL LTD,INE0LCW01025,NSE,SM,ISHAN.NS
ISHANCH,ISHAN DYES N CHEMICALS L,INE561M01018,NSE,BE,ISHANCH.NS
ISIBARS,ISIBARS,INE072A01011,NSE,BE,ISIBARS.NS
ISMTLTD,ISMT LIMITED,INE732F01019,NSE,BE,ISMTLTD.NS
ISPATALLOY,ISPAT ALLOY LTD-DEP SETT,INE135A01016,NSE,BE,ISPATALLOY.NS
ISPATALLOY,ISPAT ALLOYS LTD,INE458501017,NSE,EQ,ISPATALLOY.NS
ISSAL,INDIANSEAMLESS-ROLLSETT,INE879C01015,NSE,BE,ISSAL.NS
ISWARMEDIC,ISHWAR MEDICAL SERVICES L,INE458401010,NSE,EQ,ISWARMEDIC.NS
IT,KOTAKMAMC - KOTAKIT,INF174KA1GC5,NSE,EQ,IT.NS
ITALIANE,ITALIAN EDIBLES LIMITED,INE0R7R01018,NSE,SM,ITALIANE.NS
ITBEES,NIP IND ETF IT,INF204KB15V2,NSE,EQ,ITBEES.NS
ITC,ITC LTD-DEP SETT,INE154A01025,NSE,BE,ITC.NS
ITCHOTELS,ITC HOTELS LIMITED,INE379A01028,NSE,BE,ITCHOTELS.NS
ITDC,INDIA TOUR. DEV. CO. LTD.,INE353K01014,NSE,BE,ITDC.NS
ITETF,MIRAEAMC - ITETF,INF769K01KV5,NSE,EQ,ITETF.NS
ITETFADD,DSPAMC - DSPITETF,INF740KA1SX1,NSE,EQ,ITETFADD.NS
ITI,ITI LTD,INE248A01017,NSE,BE,ITI.NS
ITIETF,ICICIPRAMC - ICICITECH,INF109KC16I6,NSE,EQ,ITIETF.NS
ITTL,INNOVATIVE TYRE & TUBE LT,INE070Y01023,NSE,SM,ITTL.NS
ITWSIGNODE,ITW SIGNODE LTD-DEP SETT,INE240A01014,NSE,BE,ITWSIGNODE.NS
IVALUE,IVALUE INFOSOLUTIONS LTD,INE056801025,NSE,BE,IVALUE.NS
IVC,IL&FS INVESTMENT MANAGERS,INE050B01023,NSE,BE,IVC.NS
IVP,IVP LIMITED,INE043C01018,NSE,BE,IVP.NS
IVRCLINFRA,IVRCL LIMITED,INE875A01025,NSE,BE,IVRCLINFRA.NS
IVZINGOLD,INVESCO INDIA GOLD ETF,INF205K01361,NSE,EQ,IVZINGOLD.NS
IVZINNIFTY,INVESCO INDIA NIFTY ETF,INF205K01DA9,NSE,EQ,IVZINNIFTY.NS
IWARE,IWARE SUPPLYCHAIN SER LTD,INE1AII01014,NSE,SM,IWARE.NS
IWEL,INOX WIND ENERGY LIMITED,INE0FLR01028,NSE,BE,IWEL.NS
IXIGO,LE TRAVENUES TECHNOLOGY L,INE0HV901016,NSE,BE,IXIGO.NS
IZMO,IZMO LIMITED,INE848A01014,NSE,BE,IZMO.NS
JAGAJITIND,JAGAJITINDUS-ROLL SETT,INE574A01016,NSE,BE,JAGAJITIND.NS
JAGRAN,JAGRAN PRAKASHAN LIMITED,INE199G01027,NSE,BE,JAGRAN.NS
JAGSNPHARM,JAGSONPAL PHARMA,INE048B01035,NSE,BE,JAGSNPHARM.NS
JAIBALAJI,JAI BALAJI INDUSTRIES LTD,INE091G01026,NSE,BE,JAIBALAJI.NS
JAICORPLTD,JAI CORP LIMITED,INE070D01027,NSE,BE,JAICORPLTD.NS
JAIHINDPRO,JAIHIND PROJECTS LTD,INE343D01010,NSE,BE,JAIHINDPRO.NS
JAINAM,JAINAM FER ALLOYS (I) LTD,INE02KC01010,NSE,SM,JAINAM.NS
JAINIK,JAINIK POWER CABLES LTD,INE0XIL01012,NSE,SM,JAINIK.NS
JAINPLAST,JAIN PLASTICS & CHEM LTD,INE145901018,NSE,EQ,JAINPLAST.NS
JAINREC,JAIN RESOURCE RECYCLING L,INE0YD401026,NSE,BE,JAINREC.NS
JAINSTUDIO,JAIN STUDIOS LIMITED,INE486B01011,NSE,BE,JAINSTUDIO.NS
JAIPARBOLI,JAIPARABOLIC-ROLL SETT,INE686B01016,NSE,BE,JAIPARBOLI.NS
JAIPURKURT,NANDANI CREATION LIMITED,INE696V01013,NSE,BE,JAIPURKURT.NS
JAKHARIA,JAKHARIA FABRIC LIMITED,INE00N401018,NSE,SM,JAKHARIA.NS
JALAN,JALAN TRANSOLU. INDIA LTD,INE349X01015,NSE,SM,JALAN.NS
JALANFORG,JALAN FORGINGS LTD,INE146501015,NSE,EQ,JALANFORG.NS
JAMNAAUTO,JAMNA AUTO IND LTD,INE039C01032,NSE,BE,JAMNAAUTO.NS
JAMNAUTO,JAMNA AUTO IND LTD,INE147001015,NSE,EQ,JAMNAUTO.NS
JARO,JARO INS OF TEC MG N RE L,INE00YJ01010,NSE,BE,JARO.NS
JASCHIND,JASCH INDUSTRIES LTD,INE147601012,NSE,EQ,JASCHIND.NS
JASH,JASH ENGINEERING LIMITED,INE039O01011,NSE,SM,JASH.NS
JASH,JASH ENGINEERING LIMITED,INE039O01029,NSE,BE,JASH.NS
JASWALGRAN,JASWAL GRANITES LTD,INE147801018,NSE,EQ,JASWALGRAN.NS
JAYAGROGN,JAYAGROGN -,INE785A01026,NSE,BE,JAYAGROGN.NS
JAYBARMARU,JAYBHARATMARU-,INE571B01036,NSE,BE,JAYBARMARU.NS
JAYBEE,JAY BEE LAMINATIONS LTD,INE0SMY01017,NSE,SM,JAYBEE.NS
JAYBUSMAC,JAYANTI BUSINESS MACHINES,INE142501019,NSE,EQ,JAYBUSMAC.NS
JAYDYSTUF,JAYSYNTH DYESTUFF (I) LTD,INE142901011,NSE,EQ,JAYDYSTUF.NS
JAYNECOIND,JAYASWAL NECO INDUSTR LTD,INE854B01010,NSE,BE,JAYNECOIND.NS
JAYSREETEA,JAYSREETEA - DEPO SETT,INE364A01020,NSE,BE,JAYSREETEA.NS
JBCHEPHARM,JBCHEPHARM,INE572A01036,NSE,BE,JBCHEPHARM.NS
JBFIND,JBF INDUS LTD -DEP-LS ML,INE187A01017,NSE,BE,JBFIND.NS
JBMA,JBM AUTO LIMITED,INE927D01051,NSE,BE,JBMA.NS
JCHAC,JOHNSON CONTROLS HITACHI,INE782A01015,NSE,BE,JCHAC.NS
JCT,JCT LTD-DEPO,INE945A01018,NSE,BE,JCT.NS
JERSY,JERSY INDIA LTD,INE143501018,NSE,EQ,JERSY.NS
JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,INE802G01018,NSE,BE,JETAIRWAYS.NS
JETFREIGHT,JET FREIGHT LOGISTICS LTD,INE982V01025,NSE,BE,JETFREIGHT.NS
JETFREIGHT,JET FREIGHT LOGISTICS LTD,INE982V01017,NSE,SM,JETFREIGHT.NS
JETKNIT,JET KNITWEARS LTD.,INE564T01017,NSE,SM,JETKNIT.NS
JEYYAM,JEYYAM GLOBAL FOODS LTD,INE0RXB01022,NSE,SM,JEYYAM.NS
JFLABS,JFLABORATORIES-ROLL SETT,INE226C01019,NSE,BE,JFLABS.NS
JFLLIFE,JFL LIFE SCIENCES LIMITED,INE0LA901015,NSE,SM,JFLLIFE.NS
JGCHEM,J.G.CHEMICALS LIMITED,INE0MB501011,NSE,BE,JGCHEM.NS
JHS,JHS SVEND. LAB. LTD,INE544H01014,NSE,BE,JHS.NS
JIKIND,JIK INDUSTRIES LTD,INE026B01049,NSE,BE,JIKIND.NS
JINDALDRUG,JINDAL DRUGS LTD,INE459101015,NSE,EQ,JINDALDRUG.NS
JINDALPHOT,JINDAL PHOTO LIMITED,INE796G01012,NSE,BE,JINDALPHOT.NS
JINDALPOLY,JINDAL POLY FILMS LIMITED,INE197D01010,NSE,BE,JINDALPOLY.NS
JINDALSAW,JINDAL SAW LIMITED,INE324A01032,NSE,BE,JINDALSAW.NS
JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,NSE,BE,JINDALSTEL.NS
JINDCOT,JINDAL COTEX LTD,INE904J01016,NSE,BE,JINDCOT.NS
JINDRILL,JINDAL DRILLING IND. LTD,INE742C01031,NSE,BE,JINDRILL.NS
JINDWORLD,JINDAL WORLDWIDE LTD,INE247D01039,NSE,BE,JINDWORLD.NS
JIOFIN,JIO FIN SERVICES LTD,INE758E01017,NSE,BE,JIOFIN.NS
JISLDVREQS,JAIN DVR EQUITY SHARES,IN9175A01010,NSE,BE,JISLDVREQS.NS
JISLJALEQS,JAIN IRRIGATION SYSTEMS,INE175A01038,NSE,BE,JISLJALEQS.NS
JITFINFRA,JITF INFRALOGISTICS LTD,INE863T01013,NSE,BE,JITFINFRA.NS
JIWANRAM,JIWANRAM SHEODUTTRA IND L,INE0N5H01017,NSE,SM,JIWANRAM.NS
JIYAECO,JIYA ECO-PRODUCTS LTD,INE023S01016,NSE,BE,JIYAECO.NS
JKBANK,J&K BANK,INE168A01041,NSE,BE,JKBANK.NS
JKCEMENT,JK CEMENT LIMITED,INE823G01014,NSE,BE,JKCEMENT.NS
JKCORP,JK CORP LTD,INE786A01016,NSE,BE,JKCORP.NS
JKDAIRY,JK DAIRY AND FOODS LTD,INE458701013,NSE,EQ,JKDAIRY.NS
JKIL,JKUMAR INFR.LTD.,INE576I01022,NSE,BE,JKIL.NS
JKIND,JK INDUSTRIES LTD,INE573A01018,NSE,BE,JKIND.NS
JKLAKSHMI,JK LAKSHMI CEMENT LTD,INE786A01032,NSE,BE,JKLAKSHMI.NS
JKPAPER,JK PAPER LIMITED,INE789E01012,NSE,BE,JKPAPER.NS
JKPHARMA,JKPHARMACHEM,INE335C01018,NSE,BE,JKPHARMA.NS
JKSYNTHETC,JK SYNTHETICS LTD,INE150501018,NSE,EQ,JKSYNTHETC.NS
JKSYNTHETC,JK SYNTHETICS LTD - DEPO,INE903A01017,NSE,BE,JKSYNTHETC.NS
JKTYRE,JK TYRE & INDUSTRIES LTD,INE573A01042,NSE,BE,JKTYRE.NS
JKUDYOG,JKUDAIPURUDYOG,INE225C01011,NSE,BE,JKUDYOG.NS
JLHL,JUPITER LIFE LINE HOSP L,INE682M01012,NSE,BE,JLHL.NS
JMA,JULLUNDUR MOT AGENCY LTD,INE412C01023,NSE,BE,JMA.NS
JMCPROJECT,JMC PROJECTS (I) LTD.,INE890A01024,NSE,BE,JMCPROJECT.NS
JMFINANCIL,JM FINANCIAL LIMITED,INE780C01023,NSE,BE,JMFINANCIL.NS
JMSHARE,J M SHARE AND STOCK BROKE,INE150801012,NSE,EQ,JMSHARE.NS
JMTAUTOLTD,JMT AUTO LIMITED,INE988E01036,NSE,BE,JMTAUTOLTD.NS
JNKINDIA,JNK INDIA LIMITED,INE0OAF01028,NSE,BE,JNKINDIA.NS
JOCIL,JOCIL LIMITED,INE839G01010,NSE,BE,JOCIL.NS
JORDENGG,JORD ENGINEERS (I) LTD,INE138601013,NSE,EQ,JORDENGG.NS
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD,INE455F01025,NSE,BE,JPASSOCIAT.NS
JPINFRATEC,JAYPEE INFRATECH LTD,INE099J01015,NSE,BE,JPINFRATEC.NS
JPOLYINVST,JIND POL INV & FIN CO LTD,INE147P01019,NSE,BE,JPOLYINVST.NS
JPPOWER,JAIPRAKASH POWER VEN. LTD,INE351F01018,NSE,BE,JPPOWER.NS
JSFB,JANA SMALL FIN BANK LTD,INE953L01027,NSE,BE,JSFB.NS
JSL,JINDAL STAINLESS LIMITED,INE220G01021,NSE,BE,JSL.NS
JSLHISAR,JINDAL STAINLESS (H) LTD,INE455T01018,NSE,BE,JSLHISAR.NS
JSLL,JEENA SIKHO LIFECARE LTD,INE0J5801029,NSE,BE,JSLL.NS
JSWCEMENT,JSW CEMENT LIMITED,INE718I01012,NSE,BE,JSWCEMENT.NS
JSWENERGY,JSW ENERGY LIMITED,INE121E01018,NSE,BE,JSWENERGY.NS
JSWHL,JSW HOLDINGS LIMITED,INE824G01012,NSE,BE,JSWHL.NS
JSWINFRA,JSW INFRASTRUCTURE LTD,INE880J01026,NSE,BE,JSWINFRA.NS
JSWISPL,JSW ISPAT SPE PRO LTD,INE743C01021,NSE,BE,JSWISPL.NS
JSWSTEEL,JSW STEEL LIMITED,INE019A01038,NSE,BE,JSWSTEEL.NS
JTEKTINDIA,JTEKT INDIA LIMITED,INE643A01035,NSE,BE,JTEKTINDIA.NS
JTLIND,JTL INDUSTRIES LIMITED,INE391J01032,NSE,BE,JTLIND.NS
JUBLCPL,JUBILANT AGRI N CON PRO L,INE03CC01015,NSE,BE,JUBLCPL.NS
JUBLFOOD,JUBILANT FOODWORKS LTD,INE797F01020,NSE,BE,JUBLFOOD.NS
JUBLINDS,JUBILANT INDUSTRIES LTD,INE645L01011,NSE,BE,JUBLINDS.NS
JUBLINGREA,JUBILANT INGREVIA LIMITED,INE0BY001018,NSE,BE,JUBLINGREA.NS
JUBLPHARMA,JUBILANT PHARMOVA LTD,INE700A01033,NSE,BE,JUBLPHARMA.NS
JUNIORBEES,NIP IND ETF JUNIOR BEES,INF732E01045,NSE,EQ,JUNIORBEES.NS
JUNIPER,JUNIPER HOTELS LIMITED,INE696F01016,NSE,BE,JUNIPER.NS
JUPITER,JUPITER BIOSCIENCE LTD,INE918B01013,NSE,BE,JUPITER.NS
JUSTDIAL,JUSTDIAL LTD.,INE599M01018,NSE,BE,JUSTDIAL.NS
JVLAGRO,JVL AGRO INDUSTRIES LTD,INE430G01026,NSE,BE,JVLAGRO.NS
JWL,JUPITER WAGONS LIMITED,INE209L01016,NSE,BE,JWL.NS
JYOTHYLAB,JYOTHY LABS LIMITED,INE668F01031,NSE,BE,JYOTHYLAB.NS
JYOTI-RE1,JYOTI STRUCTURES LIMITED,INE197A20024,NSE,BE,JYOTI-RE1.NS
JYOTICNC,JYOTI CNC AUTOMATION LTD,INE980O01024,NSE,BE,JYOTICNC.NS
JYOTIGLOBL,JYOTI GLOBAL PLAST LTD,INE1M3T01017,NSE,SM,JYOTIGLOBL.NS
JYOTISTRUC,JYOTI STRUCTURES,INE197A01024,NSE,BE,JYOTISTRUC.NS
K2INFRA,K2 INFRAGEN LIMITED,INE0DEZ01013,NSE,SM,K2INFRA.NS
KABRAEXTRU,KABRAEXTRUSION,INE900B01029,NSE,BE,KABRAEXTRU.NS
KAJARIACER,KAJARIA CERAMICS LTD,INE217B01036,NSE,BE,KAJARIACER.NS
KAKATCEM,KAKATIYA CEM SUGAR &IND L,INE437B01014,NSE,BE,KAKATCEM.NS
KALAMANDIR,SAI SILKS (KALAMANDIR) L,INE438K01021,NSE,BE,KALAMANDIR.NS
KALANA,KALANA ISPAT LIMITED,INE0T0L01014,NSE,SM,KALANA.NS
KALPATARU,KALPATARU LIMITED,INE227J01012,NSE,BE,KALPATARU.NS
KALYANI,KALYANI COMMERCIALS LTD,INE610E01010,NSE,BE,KALYANI.NS
KALYANIFRG,KALYANI FORGE LIMITED,INE314G01014,NSE,BE,KALYANIFRG.NS
KALYANISHP,KALYANI SHARP I LTD,INE207B01011,NSE,BE,KALYANISHP.NS
KALYANISTL,KALYANI STEELS LTD,INE907A01018,NSE,BE,KALYANISTL.NS
KALYANKJIL,KALYAN JEWELLERS IND LTD,INE303R01014,NSE,BE,KALYANKJIL.NS
KAMATHOTEL,KAMAT HOTELS (I) LTD,INE967C01018,NSE,BE,KAMATHOTEL.NS
KAMDHENU,KAMDHENU LIMITED,INE390H01020,NSE,BE,KAMDHENU.NS
KAMOPAINTS,KAMDHENU VENTURES LIMITED,INE0BTI01037,NSE,BE,KAMOPAINTS.NS
KANAKSTEEL,KANAKDHARA STEEL LTD,INE137801010,NSE,EQ,KANAKSTEEL.NS
KANANIIND,KANANI INDUSTRIES LTD,INE879E01037,NSE,BE,KANANIIND.NS
KANDARP,KANDARP DG SMART BPO LTD,INE0MOT01016,NSE,SM,KANDARP.NS
KANELOIL,KANEL OILS & EXPO. INDS.,INE138101014,NSE,EQ,KANELOIL.NS
KANORICHEM,KANORIACHEMICALS-,INE138C01024,NSE,BE,KANORICHEM.NS
KANPRPLA,KANPUR PLASTIPACK LIMITED,INE694E01014,NSE,BE,KANPRPLA.NS
KANSAINER,KANSAI NEROLAC PAINTS LTD,INE531A01024,NSE,BE,KANSAINER.NS
KAPSTON,KAPSTON SERVICES LIMITED,INE542Z01010,NSE,SM,KAPSTON.NS
KAPSTON,KAPSTON SERVICES LIMITED,INE542Z01028,NSE,BE,KAPSTON.NS
KARMAENG,KARMA ENERGY LIMITED,INE725L01011,NSE,BE,KARMAENG.NS
KARNIKA,KARNIKA INDUSTRIES LTD,INE0MGA01012,NSE,SM,KARNIKA.NS
KARURVYSYA,KARURVYSYABANK,INE036D01028,NSE,BE,KARURVYSYA.NS
KATARIA,KATARIA INDUSTRIES LTD,INE0SVY01018,NSE,SM,KATARIA.NS
KAUSHALYA,KAUSHALYA INFRA DEV LTD.,INE234I01028,NSE,BE,KAUSHALYA.NS
KAVDEFENCE,KAVVERI DFS & WIR TEC LTD,INE641C01019,NSE,BE,KAVDEFENCE.NS
KAYA,KAYA LIMITED,INE587G01015,NSE,BE,KAYA.NS
KAYNES,KAYNES TECHNOLOGY IND LTD,INE918Z01012,NSE,BE,KAYNES.NS
KAYTEX,KAYTEX FABRICS LIMITED,INE13ZD01013,NSE,SM,KAYTEX.NS
KCEIL,KAY CEE ENERGY & INFRA L,INE0RCG01017,NSE,SM,KCEIL.NS
KCK,KCK INDUSTRIES LTD,INE0J1E01027,NSE,SM,KCK.NS
KCP,KCP LIMITED,INE805C01028,NSE,BE,KCP.NS
KCPSUGIND,KCPSUGARINDUS,INE790B01024,NSE,BE,KCPSUGIND.NS
KDDL,KDDL LIMITED,INE291D01011,NSE,BE,KDDL.NS
KDL,KORE DIGITAL LIMITED,INE0O4R01018,NSE,SM,KDL.NS
KEC,KEC INTL. LIMITED,INE389H01022,NSE,BE,KEC.NS
KECL,KIRLOSKAR ELECTRIC CO LTD,INE134B01017,NSE,BE,KECL.NS
KEEPLEARN,DSJ KEEP LEARNING LTD,INE055C01020,NSE,BE,KEEPLEARN.NS
KEI,KEI INDUSTRIES LTD.,INE878B01027,NSE,BE,KEI.NS
KEL,KUNDAN EDIFICE LIMITED,INE0OWX01025,NSE,SM,KEL.NS
KELLTONTEC,KELLTON TECH SOL LTD,INE164B01030,NSE,BE,KELLTONTEC.NS
KEN,KEN ENTERPRISES LIMITED,INE15DO01012,NSE,SM,KEN.NS
KENNAMET,KENNAMETAL INDIA LIMITED,INE717A01029,NSE,BE,KENNAMET.NS
KERALACHEM,KERALA CHEMICALS,INE265B01019,NSE,BE,KERALACHEM.NS
KERNEX,KERNEX MICROSYS(I) LTD,INE202H01019,NSE,BE,KERNEX.NS
KESORAMIND,KESORAM INDUSTRIES LTD,INE087A01019,NSE,BE,KESORAMIND.NS
KESWANISYN,KESWANI SYNTHETIC IND LTD,INE130801017,NSE,EQ,KESWANISYN.NS
KEYFINSERV,KEYNOTE FIN SERV LTD.,INE681C01015,NSE,BE,KEYFINSERV.NS
KFINTECH,KFIN TECHNOLOGIES LIMITED,INE138Y01010,NSE,BE,KFINTECH.NS
KGDENIM,K G DENIM LTD- DEPO SETT,INE104A01012,NSE,BE,KGDENIM.NS
KGKHOSLA,KGKHOSLA - DEPO,INE811A01012,NSE,BE,KGKHOSLA.NS
KGL,KARUTURI GLOBAL LIMITED,INE299C01024,NSE,BE,KGL.NS
KHADIM,KHADIM INDIA LIMITED,INE834I01025,NSE,BE,KHADIM.NS
KHAICHEM,KHAITAN CHEM & FERT LTD,INE745B01028,NSE,BE,KHAICHEM.NS
KHAITANELE,KHAITAN ELECTRICALS LTD,INE761A01019,NSE,BE,KHAITANELE.NS
KHAITANLTD,KHAITAN (INDIA)LTD.,INE731C01018,NSE,BE,KHAITANLTD.NS
KHANDSE,KHANDWALA SECURITIES LTD,INE060B01014,NSE,BE,KHANDSE.NS
KHATJUNKER,INDOKEM LTD,INE131901014,NSE,EQ,KHATJUNKER.NS
KHFM,KHFM HOS FAC MANA SER LTD,INE00UG01014,NSE,SM,KHFM.NS
KICL,KALYANI INVEST CO LTD,INE029L01018,NSE,BE,KICL.NS
KILBUNENGG,KILBURN ENGG. LTD.,INE126501019,NSE,EQ,KILBUNENGG.NS
KILITCH,KILITCH DRUGS INDIA LTD,INE729D01010,NSE,BE,KILITCH.NS
KIMS,KRISHNA INST OF MED SCI L,INE967H01025,NSE,BE,KIMS.NS
KINETICENG,KINETIC ENGG,INE266B01017,NSE,BE,KINETICENG.NS
KINGFA,KINGFA SCI & TEC IND LTD.,INE473D01015,NSE,BE,KINGFA.NS
KINGSINTL,KINGS INTERNATIONAL AQUA,INE127201015,NSE,EQ,KINGSINTL.NS
KIOCL,KIOCL LIMITED,INE880L01014,NSE,BE,KIOCL.NS
KIRANOVER,KIRAN OVERSEAS EXPORTS LT,INE127401011,NSE,EQ,KIRANOVER.NS
KIRIINDUS,KIRI INDUSTRIES LIMITED,INE415I01015,NSE,BE,KIRIINDUS.NS
KIRLFER,KIRLOSKAR FERROUS IND LTD,INE884B01025,NSE,BE,KIRLFER.NS
KIRLOSBROS,KIRLOSKAR BROTHERS LTD,INE732A01036,NSE,BE,KIRLOSBROS.NS
KIRLOSELEC,KIRLOSKAR ELECTRODYNE LTD,INE459501016,NSE,EQ,KIRLOSELEC.NS
KIRLOSENG,KIRLOSKAR OIL ENG LTD,INE146L01010,NSE,BE,KIRLOSENG.NS
KIRLOSFERR,KIRLOSKARFERROUS,INE884B01017,NSE,BE,KIRLOSFERR.NS
KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,INE250A01039,NSE,BE,KIRLOSIND.NS
KIRLOSINV,KIRLOSINV INV&FIN-DEPO,INE195B01018,NSE,BE,KIRLOSINV.NS
KIRLOSPNEU,KIRLOSKAR PNEU CL-DEP SET,INE328A01017,NSE,BE,KIRLOSPNEU.NS
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,INE811A01020,NSE,BE,KIRLPNU.NS
KITEX,KITEX GARMENTS LTD,INE602G01020,NSE,BE,KITEX.NS
KITSTEEL,KITTI STEELS LTD.,INE128601015,NSE,EQ,KITSTEEL.NS
KJINTL,KJ INTL. LTD.,INE459201013,NSE,EQ,KJINTL.NS
KKCL,KEWAL KIRAN CLOTHING LTD,INE401H01017,NSE,BE,KKCL.NS
KKJEWELS,KABRA JEWELS LIMITED,INE0XOW01017,NSE,SM,KKJEWELS.NS
KKVAPOW,KKV AGRO POWERS LTD.,INE239T01016,NSE,SM,KKVAPOW.NS
KLL,KAUSHALYA LOGISTICS LTD,INE0Q2V01012,NSE,SM,KLL.NS
KMEW,KNOWLEDGE MARINE & EN W L,INE0CJD01011,NSE,BE,KMEW.NS
KMSUGAR,K M SUGAR MILLS LTD,INE157H01023,NSE,BE,KMSUGAR.NS
KNAGRI,KN AGRI RESOURCES LIMITED,INE0KNW01016,NSE,SM,KNAGRI.NS
KNRCON,KNR CONSTRU LTD.,INE634I01029,NSE,BE,KNRCON.NS
KODYTECH,KODY TECHNOLAB LIMITED,INE0Q7P01013,NSE,SM,KODYTECH.NS
KOHINOOR,KOHINOOR FOODS LIMITED,INE080B01012,NSE,BE,KOHINOOR.NS
KOKUYOCMLN,KOKUYO CAMLIN LIMITED,INE760A01029,NSE,BE,KOKUYOCMLN.NS
KOLTEPATIL,KOLTE PATIL DEV. LTD.,INE094I01018,NSE,BE,KOLTEPATIL.NS
KONSTELEC,KONSTELEC ENGINEERS LTD,INE0QEI01011,NSE,SM,KONSTELEC.NS
KONTOR,KONTOR SPACE LIMITED,INE0KZ301010,NSE,SM,KONTOR.NS
KOPRAN,KOPRAN LTD,INE082A01010,NSE,BE,KOPRAN.NS
KORE,JAY JALARAM TECHNO LTD,INE0J6801010,NSE,SM,KORE.NS
KOTAKBANK,KOTAK MAHINDRA BANK LTD,INE237A01028,NSE,BE,KOTAKBANK.NS
KOTARISUG,KOTHARI SUG & CHEM LTD.,INE419A01022,NSE,BE,KOTARISUG.NS
KOTHARINDL,KOTHARI INDUSTRIAL CORPOR,INE972A01012,NSE,EQ,KOTHARINDL.NS
KOTHARIPET,KOTHARI PETROCHEM LTD,INE720A01015,NSE,BE,KOTHARIPET.NS
KOTHARIPRO,KOTHARI PRODUCTS,INE823A01017,NSE,BE,KOTHARIPRO.NS
KOTYARK,KOTYARK INDUSTRIES LTD,INE0J0B01017,NSE,SM,KOTYARK.NS
KOVAI,KOVAI MEDICAL CENTER & HO,INE177F01017,NSE,BE,KOVAI.NS
KPEL,K.P. ENERGY LIMITED,INE127T01021,NSE,BE,KPEL.NS
KPIGREEN,KPI GREEN ENERGY LIMITED,INE542W01025,NSE,BE,KPIGREEN.NS
KPIL,KALPATARU PROJECT INT LTD,INE220B01022,NSE,BE,KPIL.NS
KPITTECH,KPIT TECHNOLOGIES LIMITED,INE04I401011,NSE,BE,KPITTECH.NS
KPRMILL,KPR MILL LTD.,INE930H01031,NSE,BE,KPRMILL.NS
KRBL,KRBL LIMITED,INE001B01026,NSE,BE,KRBL.NS
KREBSBIO,KREBS BIOCHEMICALS & IND,INE268B01013,NSE,BE,KREBSBIO.NS
KRIDHANINF,KRIDHAN INFRA LIMITED,INE524L01026,NSE,BE,KRIDHANINF.NS
KRISHANA,KRISHANA PHOSCHEM LIMITED,INE506W01012,NSE,BE,KRISHANA.NS
