Symbol,Name,ISIN,Series,Exchange,Type,UpdatedAt
AETHER,Aether Industries Limited,,EQ,NSE,Mainboard,2026-01-03
AFCONS,Afcons Infrastructure Limited,,EQ,NSE,Mainboard,2026-01-03
AFFLE,Affle 3i Limited,,EQ,NSE,Mainboard,2026-01-03
AFFORDABLE,Affordable Robotic & Automation Limited,,EQ,NSE,Mainboard,2026-01-03
AFIL,Akme Fintrade (India) Limited,,EQ,NSE,Mainboard,2026-01-03
AFSL,Abans Financial Services Limited,,EQ,NSE,Mainboard,2026-01-03
AGARIND,Agarwal Industrial Corporation Limited,,EQ,NSE,Mainboard,2026-01-03
AGARWALEYE,Dr. Agarwal's Health Care Limited,,EQ,NSE,Mainboard,2026-01-03
AGARWALFT,Agarwal Float Glass India Limited,INE0MLA01012,SM,NSE,SME,2026-01-03
AGARWALTUF,Agarwal Toughened Glass India Limited,INE0P8X01016,SM,NSE,SME,2026-01-03
AGI,AGI Greenpac Limited,,EQ,NSE,Mainboard,2026-01-03
AGIIL,Agi Infra Limited,,EQ,NSE,Mainboard,2026-01-03
AGNI,Agni Green Power Limited,INE0LF301013,SM,NSE,SME,2026-01-03
AGRITECH,Agri-Tech (India) Limited,,BE,NSE,Mainboard,2026-01-03
AGROPHOS,Agro Phos India Limited,,EQ,NSE,Mainboard,2026-01-03
AGSTRA,AGS Transact Technologies Limited,,BZ,NSE,Mainboard,2026-01-03
AGUL,A G Universal Limited,INE0O6N01012,SM,NSE,SME,2026-01-03
AHCL,Anlon Healthcare Limited,,EQ,NSE,Mainboard,2026-01-03
AHIMSA,Ahimsa Industries Limited,INE136T01014,ST,NSE,SME,2026-01-03
AHLADA,Ahlada Engineers Limited,,EQ,NSE,Mainboard,2026-01-03
AHLEAST,Asian Hotels (East) Limited,,EQ,NSE,Mainboard,2026-01-03
AHLUCONT,Ahluwalia Contracts (India) Limited,,EQ,NSE,Mainboard,2026-01-03
AIAENG,AIA Engineering Limited,,EQ,NSE,Mainboard,2026-01-03
AIIL,Authum Investment & Infrastructure Limited,,EQ,NSE,Mainboard,2026-01-03
AILIMITED,Abhishek Integrations Limited,INE0CAJ01017,SM,NSE,SME,2026-01-03
AIMTRON,Aimtron Electronics Limited,INE0RUV01018,ST,NSE,SME,2026-01-03
AIRAN,Airan Limited,,EQ,NSE,Mainboard,2026-01-03
AIROLAM,Airo Lam limited,,EQ,NSE,Mainboard,2026-01-03
AISL,ANI Integrated Services Limited,INE635Y01015,SM,NSE,SME,2026-01-03
AJANTPHARM,Ajanta Pharma Limited,,EQ,NSE,Mainboard,2026-01-03
AJAXENGG,Ajax Engineering Limited,,EQ,NSE,Mainboard,2026-01-03
AJMERA,Ajmera Realty & Infra India Limited,,EQ,NSE,Mainboard,2026-01-03
AJOONI,Ajooni Biotech Limited,,EQ,NSE,Mainboard,2026-01-03
AKANKSHA,Akanksha Power and Infrastructure Limited,INE0PCY01014,SM,NSE,SME,2026-01-03
AKASH,Akash Infra-Projects Limited,,EQ,NSE,Mainboard,2026-01-03
AKG,Akg Exim Limited,,EQ,NSE,Mainboard,2026-01-03
AKI,AKI India Limited,,EQ,NSE,Mainboard,2026-01-03
AKIKO,Akiko Global Services Limited,INE0PMR01017,ST,NSE,SME,2026-01-03
AKSHAR,Akshar Spintex Limited,,EQ,NSE,Mainboard,2026-01-03
AKSHARCHEM,AksharChem India Limited,,EQ,NSE,Mainboard,2026-01-03
AKSHOPTFBR,Aksh Optifibre Limited,,EQ,NSE,Mainboard,2026-01-03
AKUMS,Akums Drugs and Pharmaceuticals Limited,,EQ,NSE,Mainboard,2026-01-03
AKZOINDIA,Akzo Nobel India Limited,,EQ,NSE,Mainboard,2026-01-03
ALANKIT,Alankit Limited,,EQ,NSE,Mainboard,2026-01-03
ALBERTDAVD,Albert David Limited,,EQ,NSE,Mainboard,2026-01-03
ALCODIS,Alcokraft Distilleries Limited,INE448V01019,SM,NSE,SME,2026-01-03
ALEMBICLTD,Alembic Limited,,EQ,NSE,Mainboard,2026-01-03
ALICON,Alicon Castalloy Limited,,EQ,NSE,Mainboard,2026-01-03
ALIVUS,Alivus Life Sciences Limited,,EQ,NSE,Mainboard,2026-01-03
ALKALI,Alkali Metals Limited,,EQ,NSE,Mainboard,2026-01-03
ALKEM,Alkem Laboratories Limited,,EQ,NSE,Mainboard,2026-01-03
