Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02 00:00:00+05:30,19.299999237060547,19.299999237060547,19.299999237060547,19.299999237060547,0,0.0,0.0,0.0
2025-07-03 00:00:00+05:30,19.299999237060547,19.299999237060547,19.299999237060547,19.299999237060547,0,0.0,0.0,0.0
2025-07-04 00:00:00+05:30,19.0,19.0,19.0,19.0,2000,0.0,0.0,0.0
2025-07-07 00:00:00+05:30,19.0,19.0,19.0,19.0,0,0.0,0.0,0.0
2025-07-08 00:00:00+05:30,18.700000762939453,18.899999618530273,18.700000762939453,18.700000762939453,12000,0.0,0.0,0.0
2025-07-09 00:00:00+05:30,18.700000762939453,18.700000762939453,18.700000762939453,18.700000762939453,0,0.0,0.0,0.0
2025-07-10 00:00:00+05:30,19.700000762939453,19.700000762939453,19.700000762939453,19.700000762939453,4000,0.0,0.0,0.0
2025-07-11 00:00:00+05:30,19.700000762939453,19.700000762939453,19.5,19.5,12000,0.0,0.0,0.0
2025-07-14 00:00:00+05:30,19.5,19.5,19.5,19.5,2000,0.0,0.0,0.0
2025-07-15 00:00:00+05:30,19.5,19.75,19.5,19.75,6000,0.0,0.0,0.0
2025-07-16 00:00:00+05:30,20.0,20.899999618530273,19.899999618530273,20.200000762939453,18000,0.0,0.0,0.0
2025-07-17 00:00:00+05:30,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,0,0.0,0.0,0.0
2025-07-18 00:00:00+05:30,20.200000762939453,20.200000762939453,20.0,20.200000762939453,10000,0.0,0.0,0.0
2025-07-21 00:00:00+05:30,20.0,20.0,19.5,19.5,4000,0.0,0.0,0.0
2025-07-22 00:00:00+05:30,19.600000381469727,19.600000381469727,19.600000381469727,19.600000381469727,4000,0.0,0.0,0.0
2025-07-23 00:00:00+05:30,19.600000381469727,19.799999237060547,19.600000381469727,19.799999237060547,6000,0.0,0.0,0.0
2025-07-24 00:00:00+05:30,20.850000381469727,21.850000381469727,19.299999237060547,19.299999237060547,8000,0.0,0.0,0.0
2025-07-25 00:00:00+05:30,19.299999237060547,19.299999237060547,19.299999237060547,19.299999237060547,2000,0.0,0.0,0.0
2025-07-28 00:00:00+05:30,19.299999237060547,19.299999237060547,19.0,19.0,4000,0.0,0.0,0.0
2025-07-29 00:00:00+05:30,19.0,19.0,19.0,19.0,2000,0.0,0.0,0.0
2025-07-30 00:00:00+05:30,19.5,19.5,19.5,19.5,2000,0.0,0.0,0.0
2025-07-31 00:00:00+05:30,19.5,19.5,19.5,19.5,6000,0.0,0.0,0.0
2025-08-01 00:00:00+05:30,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0
2025-08-04 00:00:00+05:30,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0
2025-08-05 00:00:00+05:30,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0
2025-08-06 00:00:00+05:30,19.0,19.0,19.0,19.0,4000,0.0,0.0,0.0
2025-08-07 00:00:00+05:30,19.0,19.0,18.0,18.5,12000,0.0,0.0,0.0
2025-08-08 00:00:00+05:30,18.5,18.5,18.5,18.5,0,0.0,0.0,0.0
2025-08-11 00:00:00+05:30,18.5,19.950000762939453,17.0,18.299999237060547,34000,0.0,0.0,0.0
2025-08-12 00:00:00+05:30,17.450000762939453,17.600000381469727,17.450000762939453,17.600000381469727,4000,0.0,0.0,0.0
