Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02 00:00:00+05:30,81.0,81.0,81.0,81.0,0,0.0,0.0,0.0
2025-07-03 00:00:00+05:30,78.0,78.0,76.94999694824219,76.94999694824219,7000,0.0,0.0,0.0
2025-07-04 00:00:00+05:30,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,1000,0.0,0.0,0.0
2025-07-07 00:00:00+05:30,82.44999694824219,82.44999694824219,82.44999694824219,82.44999694824219,1000,0.0,0.0,0.0
2025-07-08 00:00:00+05:30,83.6500015258789,83.6500015258789,83.6500015258789,83.6500015258789,1000,0.0,0.0,0.0
2025-07-09 00:00:00+05:30,79.5,79.5,79.5,79.5,1000,0.0,0.0,0.0
2025-07-10 00:00:00+05:30,79.5,79.5,79.5,79.5,0,0.0,0.0,0.0
2025-07-11 00:00:00+05:30,79.5,79.5,79.5,79.5,0,0.0,0.0,0.0
2025-07-14 00:00:00+05:30,79.5,79.5,79.5,79.5,0,0.0,0.0,0.0
2025-07-15 00:00:00+05:30,81.0,81.0,76.0,76.0,4000,0.0,0.0,0.0
2025-07-16 00:00:00+05:30,72.5,76.94999694824219,72.19999694824219,72.19999694824219,5000,0.0,0.0,0.0
2025-07-17 00:00:00+05:30,68.69999694824219,68.69999694824219,68.5999984741211,68.5999984741211,4000,0.0,0.0,0.0
2025-07-18 00:00:00+05:30,68.5,68.5,65.19999694824219,65.30000305175781,9000,0.0,0.0,0.0
2025-07-21 00:00:00+05:30,65.0,68.55000305175781,63.599998474121094,63.599998474121094,4000,0.0,0.0,0.0
2025-07-22 00:00:00+05:30,60.54999923706055,66.75,60.54999923706055,66.75,21000,0.0,0.0,0.0
2025-07-23 00:00:00+05:30,70.05000305175781,70.05000305175781,69.94999694824219,70.05000305175781,3000,0.0,0.0,0.0
2025-07-24 00:00:00+05:30,70.75,70.75,70.4000015258789,70.4000015258789,2000,0.0,0.0,0.0
2025-07-25 00:00:00+05:30,73.44999694824219,73.44999694824219,73.44999694824219,73.44999694824219,1000,0.0,0.0,0.0
2025-07-28 00:00:00+05:30,73.44999694824219,73.44999694824219,73.44999694824219,73.44999694824219,0,0.0,0.0,0.0
2025-07-29 00:00:00+05:30,69.80000305175781,69.80000305175781,69.80000305175781,69.80000305175781,2000,0.0,0.0,0.0
2025-07-30 00:00:00+05:30,69.80000305175781,69.80000305175781,69.80000305175781,69.80000305175781,0,0.0,0.0,0.0
