Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02 00:00:00+05:30,269.75502511515344,278.9195363257845,268.908329414018,277.2759094238281,109500,0.0,0.0,0.0
2025-07-03 00:00:00+05:30,284.89640351172585,284.89640351172585,271.34887614588973,274.4369201660156,49500,0.0,0.0,0.0
2025-07-04 00:00:00+05:30,271.9465556552566,273.93883811426946,267.46392012247765,268.6593017578125,62500,0.0,0.0,0.0
2025-07-07 00:00:00+05:30,270.55195810480853,274.7855582377452,264.9735612614462,268.01177978515625,39500,0.0,0.0,0.0
2025-07-08 00:00:00+05:30,272.942701338105,273.44077196098476,251.6252847588152,254.61370849609375,84500,0.0,0.0,0.0
2025-07-09 00:00:00+05:30,254.61370536839922,263.97742688355027,254.2152397550447,255.06195068359375,75000,0.0,0.0,0.0
2025-07-10 00:00:00+05:30,254.11564453791925,290.87325139052524,254.11564453791925,277.37554931640625,179500,0.0,0.0,0.0
2025-07-11 00:00:00+05:30,276.47900297292193,286.88869161686455,270.55198053531257,276.6284484863281,120500,0.0,0.0,0.0
2025-07-14 00:00:00+05:30,283.70100193144265,290.87323073974676,273.93883031996694,277.2759094238281,82500,0.0,0.0,0.0
2025-07-15 00:00:00+05:30,278.91956400427017,281.2106768343773,276.08055521926275,280.6628112792969,58500,0.0,0.0,0.0
2025-07-16 00:00:00+05:30,278.3716783353123,279.8658901773702,268.06161054514934,270.20330810546875,102000,0.0,0.0,0.0
2025-07-17 00:00:00+05:30,273.1419516910721,279.9157002489116,268.95814614664107,273.9886474609375,20000,0.0,0.0,0.0
2025-07-18 00:00:00+05:30,273.93885626309157,283.9002692181131,271.5481232338504,274.93499755859375,36500,0.0,0.0,0.0
2025-07-21 00:00:00+05:30,275.4330609754566,278.9195554181839,274.93499034078127,275.9809265136719,26500,0.0,0.0,0.0
2025-07-22 00:00:00+05:30,276.5288164072127,278.6705140095386,273.4407724597617,276.8774719238281,17500,0.0,0.0,0.0
2025-07-23 00:00:00+05:30,279.8659013964794,279.8659013964794,268.9581423522655,270.10369873046875,38500,0.0,0.0,0.0
2025-07-24 00:00:00+05:30,269.9542711046007,274.8353570113993,268.0616088631666,268.9581298828125,19500,0.0,0.0,0.0
2025-07-25 00:00:00+05:30,268.95815223435096,274.935000061781,266.56741918334296,273.0921325683594,42000,0.0,0.0,0.0
2025-07-28 00:00:00+05:30,273.0921169431462,284.89639680689197,272.9427018359734,276.8774719238281,35500,0.0,0.0,0.0
2025-07-29 00:00:00+05:30,278.3716736316017,283.9002451938712,278.3716736316017,282.85430908203125,46000,0.0,0.0,0.0
2025-07-30 00:00:00+05:30,282.9539121354844,287.88482352182376,277.1265100968526,280.9118347167969,43500,0.0,0.0,0.0
2025-07-31 00:00:00+05:30,279.0191656512976,322.7497597326392,278.91954544795976,314.7308349609375,240000,0.0,0.0,0.0
2025-08-01 00:00:00+05:30,311.2941423861409,318.7652018034083,307.80764799141616,310.74627685546875,70500,0.0,0.0,0.0
2025-08-04 00:00:00+05:30,317.56980539887087,317.66942559977497,293.9612769758267,303.87286376953125,111000,0.0,0.0,0.0
2025-08-05 00:00:00+05:30,303.8728891477374,308.70418049681194,300.83467036523496,304.6199951171875,17000,0.0,0.0,0.0
2025-08-06 00:00:00+05:30,304.81923327078687,310.29801033937946,298.84238555959496,299.0416259765625,44000,0.0,0.0,0.0
2025-08-07 00:00:00+05:30,294.85780038985536,313.63506842032143,290.0763347056225,306.5126647949219,123000,0.0,0.0,0.0
2025-08-08 00:00:00+05:30,311.7922081445619,316.7729143449543,297.6469903755204,298.04547119140625,83500,0.0,0.0,0.0
2025-08-11 00:00:00+05:30,298.84239000098967,298.84239000098967,291.37133025096495,293.9613037109375,36500,0.0,0.0,0.0
2025-08-12 00:00:00+05:30,291.6701579738468,291.6701579738468,283.90026806053885,285.44427490234375,24000,0.0,0.0,0.0
2025-08-13 00:00:00+05:30,283.90025772420654,288.8809640000698,282.90411646903385,283.9998779296875,20000,0.0,0.0,0.0
2025-08-14 00:00:00+05:30,288.8809566633582,290.77361892015455,284.8963917438636,289.5284423828125,12000,0.0,0.0,0.0
2025-08-18 00:00:00+05:30,296.7504638907396,300.83464898003473,277.1762949625651,295.85394287109375,13000,0.0,0.0,0.0
2025-08-19 00:00:00+05:30,295.8539598825816,298.8423837197794,294.8578186035156,294.8578186035156,3500,0.0,0.0,0.0
2025-08-20 00:00:00+05:30,297.84623152227687,309.5010962200324,297.84623152227687,306.8612976074219,41500,0.0,0.0,0.0
2025-08-21 00:00:00+05:30,304.3211439068636,313.7346906328131,301.33272023511046,306.21380615234375,19500,0.0,0.0,0.0
