Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-02 00:00:00+05:30,743.0499877929688,744.75,734.25,742.5999755859375,44191,0.0,0.0
2025-07-03 00:00:00+05:30,744.0,756.9000244140625,737.0,746.1500244140625,56935,0.0,0.0
2025-07-04 00:00:00+05:30,747.0,767.0,747.0,756.0999755859375,84788,0.0,0.0
2025-07-07 00:00:00+05:30,757.0,767.9500122070312,754.7999877929688,760.75,33886,0.0,0.0
2025-07-08 00:00:00+05:30,760.75,764.9000244140625,743.5499877929688,751.5999755859375,33347,0.0,0.0
2025-07-09 00:00:00+05:30,755.3499755859375,759.9000244140625,744.0,746.5,23740,0.0,0.0
2025-07-10 00:00:00+05:30,751.5,753.5499877929688,740.0,743.5499877929688,26348,0.0,0.0
2025-07-11 00:00:00+05:30,743.5499877929688,755.9000244140625,743.5499877929688,747.9000244140625,33513,0.0,0.0
2025-07-14 00:00:00+05:30,750.0,768.0,750.0,757.5499877929688,93129,0.0,0.0
2025-07-15 00:00:00+05:30,760.0,765.0,728.7999877929688,731.6500244140625,277615,0.0,0.0
2025-07-16 00:00:00+05:30,729.7999877929688,737.4500122070312,729.75,734.8499755859375,30183,0.0,0.0
2025-07-17 00:00:00+05:30,734.0,740.5499877929688,731.0,732.9000244140625,22110,0.0,0.0
2025-07-18 00:00:00+05:30,737.0,737.0,725.0499877929688,726.9500122070312,30843,0.0,0.0
2025-07-21 00:00:00+05:30,721.2000122070312,733.5999755859375,721.2000122070312,727.4000244140625,16413,0.0,0.0
2025-07-22 00:00:00+05:30,730.0,739.9500122070312,727.2000122070312,732.25,37151,0.0,0.0
2025-07-23 00:00:00+05:30,730.0,731.75,721.8499755859375,726.2000122070312,15485,0.0,0.0
2025-07-24 00:00:00+05:30,726.0,728.6500244140625,722.4000244140625,723.3499755859375,15002,0.0,0.0
2025-07-25 00:00:00+05:30,721.0,737.0,713.75,716.5,43325,0.0,0.0
2025-07-28 00:00:00+05:30,724.8499755859375,724.8499755859375,709.0,711.6500244140625,18848,0.0,0.0
2025-07-29 00:00:00+05:30,705.0,718.0999755859375,688.5,700.5,46148,0.0,0.0
2025-07-30 00:00:00+05:30,700.0,709.4500122070312,694.0,695.9000244140625,20159,0.0,0.0
2025-07-31 00:00:00+05:30,683.0,703.4000244140625,683.0,689.5999755859375,27398,0.0,0.0
2025-08-01 00:00:00+05:30,684.0499877929688,700.7000122070312,670.0,678.75,35063,0.0,0.0
2025-08-04 00:00:00+05:30,676.0499877929688,697.9500122070312,672.9000244140625,691.25,25123,0.0,0.0
2025-08-05 00:00:00+05:30,691.25,700.1500244140625,685.1500244140625,689.3499755859375,22516,0.0,0.0
2025-08-06 00:00:00+05:30,682.0499877929688,693.25,681.5,685.1500244140625,15048,0.0,0.0
2025-08-07 00:00:00+05:30,681.5,693.5,678.9500122070312,686.5,17718,0.0,0.0
2025-08-08 00:00:00+05:30,682.0,686.0,675.5,678.4500122070312,15874,0.0,0.0
2025-08-11 00:00:00+05:30,678.0,679.4000244140625,670.5499877929688,677.4500122070312,10783,0.0,0.0
2025-08-12 00:00:00+05:30,675.75,692.8499755859375,675.75,682.5,15597,0.0,0.0
2025-08-13 00:00:00+05:30,676.9500122070312,688.9500122070312,676.9500122070312,679.3499755859375,20823,0.0,0.0
2025-08-14 00:00:00+05:30,687.8499755859375,687.8499755859375,673.7999877929688,678.5499877929688,12428,0.0,0.0
2025-08-18 00:00:00+05:30,677.0,687.0,671.0,672.8499755859375,23706,0.0,0.0
2025-08-19 00:00:00+05:30,671.5,685.25,671.5,682.7999877929688,18229,0.0,0.0
2025-08-20 00:00:00+05:30,675.9500122070312,689.7999877929688,675.9500122070312,687.0999755859375,13373,0.0,0.0
2025-08-21 00:00:00+05:30,689.0,692.75,680.0499877929688,681.6500244140625,18759,0.0,0.0
2025-08-22 00:00:00+05:30,681.5,684.5499877929688,675.0,680.25,11724,0.0,0.0
2025-08-25 00:00:00+05:30,680.0,683.5,675.25,677.9500122070312,8946,0.0,0.0
2025-08-26 00:00:00+05:30,675.0999755859375,690.0,672.5,682.3499755859375,14389,0.0,0.0
2025-08-28 00:00:00+05:30,672.0999755859375,680.0,671.7999877929688,673.0499877929688,11281,0.0,0.0
2025-08-29 00:00:00+05:30,666.0499877929688,678.4500122070312,666.0499877929688,675.5499877929688,11419,0.0,0.0
2025-09-01 00:00:00+05:30,667.1500244140625,686.9000244140625,667.1500244140625,683.9500122070312,9935,0.0,0.0
2025-09-02 00:00:00+05:30,683.9500122070312,702.9000244140625,682.5,698.5999755859375,22877,0.0,0.0
2025-09-03 00:00:00+05:30,697.0999755859375,704.5999755859375,696.75,702.7000122070312,18093,0.0,0.0
2025-09-04 00:00:00+05:30,704.7000122070312,709.5,693.4000244140625,696.1500244140625,13263,0.0,0.0
2025-09-05 00:00:00+05:30,702.3499755859375,702.3499755859375,690.0,691.4500122070312,10055,0.0,0.0
2025-09-08 00:00:00+05:30,693.0,695.9000244140625,683.8499755859375,685.9000244140625,16721,0.0,0.0
2025-09-09 00:00:00+05:30,684.0,693.0,682.4000244140625,691.5999755859375,16219,0.0,0.0
2025-09-10 00:00:00+05:30,691.5999755859375,700.0,689.5,697.0,12797,0.0,0.0
2025-09-11 00:00:00+05:30,699.9000244140625,699.9000244140625,689.2999877929688,692.7000122070312,13789,0.0,0.0
2025-09-12 00:00:00+05:30,693.6500244140625,704.9000244140625,691.0999755859375,702.8499755859375,19784,0.0,0.0
2025-09-15 00:00:00+05:30,712.9000244140625,712.9000244140625,701.2999877929688,708.2999877929688,23643,0.0,0.0
2025-09-16 00:00:00+05:30,709.0,711.0999755859375,705.0,707.9000244140625,13857,0.0,0.0
2025-09-17 00:00:00+05:30,705.0999755859375,736.7999877929688,705.0999755859375,725.75,46737,0.0,0.0
2025-09-18 00:00:00+05:30,726.0999755859375,734.9000244140625,717.5999755859375,720.1500244140625,24804,0.0,0.0
2025-09-19 00:00:00+05:30,722.0,730.0,709.9500122070312,715.25,16160,0.0,0.0
2025-09-22 00:00:00+05:30,715.25,740.0,708.9500122070312,725.0,65280,0.0,0.0
2025-09-23 00:00:00+05:30,728.0,733.4500122070312,714.0,720.3499755859375,26959,0.0,0.0
