Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-02 00:00:00+05:30,8928.482295632733,9208.525104548102,8839.785462915765,8981.3017578125,149035,0.0,0.0
2025-07-03 00:00:00+05:30,9029.13831850546,9173.644395346882,8987.281385903118,9080.462890625,48149,0.0,0.0
2025-07-04 00:00:00+05:30,9080.462506383463,9174.142303957962,9009.206064611371,9071.4931640625,25256,0.0,0.0
2025-07-07 00:00:00+05:30,9071.49358353454,9138.763654052374,9032.128134861141,9119.330078125,17540,0.0,0.0
2025-07-08 00:00:00+05:30,9118.831809980004,9228.457110427851,9029.138382340856,9095.91015625,31963,0.0,0.0
2025-07-09 00:00:00+05:30,9108.86522985412,9307.1873502853,9060.03214492383,9256.859375,37170,0.0,0.0
2025-07-10 00:00:00+05:30,9337.583557808899,9337.583557808899,8989.274101225921,9079.4658203125,26253,0.0,0.0
2025-07-11 00:00:00+05:30,9088.9334117838,9240.913932101457,9088.9334117838,9210.01953125,20847,0.0,0.0
2025-07-14 00:00:00+05:30,9168.661067899722,9271.310208116425,9129.793917720583,9153.2138671875,10623,0.0,0.0
2025-07-15 00:00:00+05:30,9163.6776490857,9617.626008972435,9024.154552742904,9128.796875,106695,0.0,0.0
2025-07-16 00:00:00+05:30,9178.627166423586,9498.533715872227,9102.886051912383,9139.26171875,67828,0.0,0.0
2025-07-17 00:00:00+05:30,9193.077389823291,9406.846710666383,9189.589312327018,9362.0,43419,0.0,0.0
2025-07-18 00:00:00+05:30,9379.0,9390.0,9056.5,9119.0,24592,32.0,0.0
2025-07-21 00:00:00+05:30,9078.5,9176.5,8957.0,9141.5,26644,0.0,0.0
2025-07-22 00:00:00+05:30,9219.5,9250.0,8970.0,9005.0,31723,0.0,0.0
2025-07-23 00:00:00+05:30,9005.0,9100.0,8912.0,8935.5,23793,0.0,0.0
2025-07-24 00:00:00+05:30,8950.0,9061.0,8936.5,9024.5,13697,0.0,0.0
2025-07-25 00:00:00+05:30,9028.0,9067.5,8822.5,8867.5,10938,0.0,0.0
2025-07-28 00:00:00+05:30,8855.0,8981.5,8842.0,8937.5,16459,0.0,0.0
2025-07-29 00:00:00+05:30,8944.5,9000.0,8865.5,8947.5,16758,0.0,0.0
2025-07-30 00:00:00+05:30,9020.5,9400.0,8948.0,9340.0,39808,0.0,0.0
2025-07-31 00:00:00+05:30,9220.5,9385.0,9159.0,9186.0,15862,0.0,0.0
2025-08-01 00:00:00+05:30,9175.0,9221.0,8840.0,8893.5,16512,0.0,0.0
2025-08-04 00:00:00+05:30,8909.0,8983.5,8865.0,8957.5,8507,0.0,0.0
2025-08-05 00:00:00+05:30,8912.5,8999.0,8831.0,8855.5,7831,0.0,0.0
2025-08-06 00:00:00+05:30,8850.0,8892.0,8731.0,8834.5,12030,0.0,0.0
2025-08-07 00:00:00+05:30,8800.0,8807.0,8666.0,8723.5,9367,0.0,0.0
2025-08-08 00:00:00+05:30,8750.0,8888.0,8661.0,8784.5,15302,0.0,0.0
2025-08-11 00:00:00+05:30,8735.0,8899.0,8619.0,8796.5,10106,0.0,0.0
2025-08-12 00:00:00+05:30,8880.0,8937.0,8630.0,8671.5,9468,0.0,0.0
2025-08-13 00:00:00+05:30,8678.0,8757.0,8252.0,8416.5,34709,0.0,0.0
2025-08-14 00:00:00+05:30,8426.0,8979.5,8205.5,8314.5,257331,0.0,0.0
2025-08-18 00:00:00+05:30,8498.5,8520.0,8330.0,8414.5,33276,0.0,0.0
2025-08-19 00:00:00+05:30,8414.5,8519.0,8301.5,8451.5,17625,0.0,0.0
2025-08-20 00:00:00+05:30,8492.0,8519.5,8435.5,8461.0,9121,0.0,0.0
2025-08-21 00:00:00+05:30,8500.0,8500.5,8366.0,8392.0,8242,0.0,0.0
2025-08-22 00:00:00+05:30,8392.0,8464.5,8307.0,8433.0,11150,0.0,0.0
2025-08-25 00:00:00+05:30,8433.0,8482.5,8225.0,8268.0,10149,0.0,0.0
2025-08-26 00:00:00+05:30,8225.0,8329.5,7955.0,8016.5,62760,0.0,0.0
2025-08-28 00:00:00+05:30,8050.0,8475.0,8050.0,8329.0,87901,0.0,0.0
2025-08-29 00:00:00+05:30,8385.0,8514.5,8287.0,8460.5,24461,0.0,0.0
2025-09-01 00:00:00+05:30,8460.0,8838.0,8403.5,8764.0,32616,0.0,0.0
2025-09-02 00:00:00+05:30,8750.5,8955.0,8649.0,8926.0,26783,0.0,0.0
2025-09-03 00:00:00+05:30,8926.0,9173.5,8825.5,9095.0,30929,0.0,0.0
2025-09-04 00:00:00+05:30,9071.0,9184.0,9055.5,9113.0,20690,0.0,0.0
2025-09-05 00:00:00+05:30,9075.0,9242.0,8994.0,9090.0,11616,0.0,0.0
2025-09-08 00:00:00+05:30,9120.0,9152.5,8909.5,9045.5,12381,0.0,0.0
2025-09-09 00:00:00+05:30,8960.5,9147.0,8960.5,9100.5,10708,0.0,0.0
2025-09-10 00:00:00+05:30,9099.0,9179.5,8962.0,8996.0,13505,0.0,0.0
2025-09-11 00:00:00+05:30,8996.0,9099.0,8985.0,9071.5,7761,0.0,0.0
