Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-02 00:00:00+05:30,2625.237863850188,2649.716770668201,2570.285215891383,2587.07080078125,25154,0.0,0.0
2025-07-03 00:00:00+05:30,2597.66136526929,2691.5804304283715,2547.8044271878593,2680.09033203125,46818,0.0,0.0
2025-07-04 00:00:00+05:30,2711.6633847927997,2767.6151716566155,2640.72451216189,2655.911376953125,42463,0.0,0.0
2025-07-07 00:00:00+05:30,2659.9077941344317,2696.676158080712,2604.155789208702,2670.198974609375,40236,0.0,0.0
2025-07-08 00:00:00+05:30,2695.6770066024264,2699.6735625795986,2613.9473880831783,2645.820068359375,11672,0.0,0.0
2025-07-09 00:00:00+05:30,2652.6139493687,2717.6579937772244,2645.5202090520143,2708.066162109375,16898,0.0,0.0
2025-07-10 00:00:00+05:30,2687.6839640088283,2717.5581231369797,2655.8115268405218,2692.080078125,11365,0.0,0.0
2025-07-11 00:00:00+05:30,2685.685577857136,2722.653720111866,2622.7398221261096,2638.12646484375,12116,0.0,0.0
2025-07-14 00:00:00+05:30,2627.735717017865,2706.967492936848,2608.8520864335223,2697.575439453125,12644,0.0,0.0
2025-07-15 00:00:00+05:30,2697.5753255137374,2767.615067946206,2692.779653392321,2738.240478515625,29114,0.0,0.0
2025-07-16 00:00:00+05:30,2757.623638107595,2819.2704655792063,2710.064524168064,2775.308349609375,59788,0.0,0.0
2025-07-17 00:00:00+05:30,2775.3084334549267,2917.5859776139246,2775.3084334549267,2901.199951171875,82738,0.0,0.0
2025-07-18 00:00:00+05:30,2934.5,2998.0,2903.0,2984.39990234375,83601,2.5,0.0
2025-07-21 00:00:00+05:30,2984.5,3016.0,2944.89990234375,3005.800048828125,31633,0.0,0.0
2025-07-22 00:00:00+05:30,3005.89990234375,3021.5,2981.0,3002.60009765625,21962,0.0,0.0
2025-07-23 00:00:00+05:30,3005.0,3010.0,2944.199951171875,2974.39990234375,16796,0.0,0.0
2025-07-24 00:00:00+05:30,2974.300048828125,3000.0,2955.89990234375,2978.699951171875,15410,0.0,0.0
2025-07-25 00:00:00+05:30,2935.0,2994.699951171875,2875.0,2896.199951171875,83537,0.0,0.0
2025-07-28 00:00:00+05:30,2896.300048828125,2968.0,2886.10009765625,2920.800048828125,27035,0.0,0.0
2025-07-29 00:00:00+05:30,2939.0,3014.0,2894.300048828125,3004.0,17763,0.0,0.0
2025-07-30 00:00:00+05:30,2981.5,3080.0,2960.0,3063.10009765625,30820,0.0,0.0
2025-07-31 00:00:00+05:30,2999.89990234375,3098.0,2882.199951171875,2921.699951171875,62825,0.0,0.0
2025-08-01 00:00:00+05:30,2934.89990234375,2934.89990234375,2630.0,2669.10009765625,92956,0.0,0.0
2025-08-04 00:00:00+05:30,2659.0,2669.39990234375,2580.10009765625,2601.300048828125,36817,0.0,0.0
2025-08-05 00:00:00+05:30,2600.0,2620.0,2510.10009765625,2528.0,36155,0.0,0.0
2025-08-06 00:00:00+05:30,2515.0,2668.0,2492.699951171875,2626.89990234375,35917,0.0,0.0
2025-08-07 00:00:00+05:30,2640.0,2739.89990234375,2605.39990234375,2721.89990234375,43095,0.0,0.0
2025-08-08 00:00:00+05:30,2737.0,2739.699951171875,2613.0,2638.60009765625,14199,0.0,0.0
2025-08-11 00:00:00+05:30,2635.199951171875,2659.800048828125,2584.199951171875,2650.60009765625,16312,0.0,0.0
2025-08-12 00:00:00+05:30,2670.0,2698.0,2613.300048828125,2623.699951171875,19793,0.0,0.0
2025-08-13 00:00:00+05:30,2629.800048828125,2719.89990234375,2614.5,2702.300048828125,15303,0.0,0.0
2025-08-14 00:00:00+05:30,2705.0,2708.0,2656.0,2670.89990234375,7865,0.0,0.0
2025-08-18 00:00:00+05:30,2700.0,2849.89990234375,2690.0,2836.0,46055,0.0,0.0
2025-08-19 00:00:00+05:30,2850.0,2860.89990234375,2770.39990234375,2785.199951171875,15341,0.0,0.0
2025-08-20 00:00:00+05:30,2771.199951171875,2853.300048828125,2771.199951171875,2830.10009765625,17402,0.0,0.0
2025-08-21 00:00:00+05:30,2850.0,2882.0,2790.300048828125,2847.5,24235,0.0,0.0
2025-08-22 00:00:00+05:30,2841.0,2925.0,2810.0,2892.0,24602,0.0,0.0
2025-08-25 00:00:00+05:30,2906.5,2947.89990234375,2880.0,2899.199951171875,21894,0.0,0.0
2025-08-26 00:00:00+05:30,2899.199951171875,2903.89990234375,2816.199951171875,2838.39990234375,27568,0.0,0.0
2025-08-28 00:00:00+05:30,2807.0,2844.0,2749.5,2834.0,14580,0.0,0.0
2025-08-29 00:00:00+05:30,2830.0,2847.699951171875,2769.300048828125,2803.0,9948,0.0,0.0
2025-09-01 00:00:00+05:30,2805.0,2845.39990234375,2741.39990234375,2746.89990234375,20171,0.0,0.0
2025-09-02 00:00:00+05:30,2746.89990234375,2773.10009765625,2720.800048828125,2740.89990234375,9781,0.0,0.0
2025-09-03 00:00:00+05:30,2715.199951171875,2794.300048828125,2715.199951171875,2781.39990234375,7656,0.0,0.0
2025-09-04 00:00:00+05:30,2785.0,2819.89990234375,2750.0,2752.0,7670,0.0,0.0
2025-09-05 00:00:00+05:30,2770.0,2770.0,2695.10009765625,2705.39990234375,9748,0.0,0.0
2025-09-08 00:00:00+05:30,2705.39990234375,2870.39990234375,2692.10009765625,2834.199951171875,28965,0.0,0.0
2025-09-09 00:00:00+05:30,2835.0,2842.0,2781.0,2817.89990234375,13511,0.0,0.0
2025-09-10 00:00:00+05:30,2818.10009765625,2957.10009765625,2818.10009765625,2917.10009765625,37653,0.0,0.0
2025-09-11 00:00:00+05:30,2917.10009765625,2922.5,2830.10009765625,2838.199951171875,12091,0.0,0.0
2025-09-12 00:00:00+05:30,2866.60009765625,2866.60009765625,2776.800048828125,2806.800048828125,12991,0.0,0.0
2025-09-15 00:00:00+05:30,2809.0,2990.0,2800.0,2929.39990234375,37852,0.0,0.0
2025-09-16 00:00:00+05:30,2929.39990234375,3014.0,2897.10009765625,2994.800048828125,31856,0.0,0.0
2025-09-17 00:00:00+05:30,2994.800048828125,3070.0,2934.199951171875,2954.0,24141,0.0,0.0
2025-09-18 00:00:00+05:30,2960.0,3030.0,2890.0,2902.699951171875,10835,0.0,0.0
2025-09-19 00:00:00+05:30,2890.0,2993.0,2860.0,2963.300048828125,20389,0.0,0.0
2025-09-22 00:00:00+05:30,2940.0,2993.0,2860.10009765625,2884.699951171875,25074,0.0,0.0
2025-09-23 00:00:00+05:30,2865.0,2912.89990234375,2785.10009765625,2802.60009765625,28461,0.0,0.0
2025-09-24 00:00:00+05:30,2815.0,2853.39990234375,2765.0,2774.39990234375,17904,0.0,0.0
2025-09-25 00:00:00+05:30,2774.0,2898.800048828125,2633.5,2739.60009765625,63451,0.0,0.0
2025-09-26 00:00:00+05:30,2705.300048828125,2748.0,2541.699951171875,2552.800048828125,270867,0.0,0.0
2025-09-29 00:00:00+05:30,2581.0,2593.0,2512.89990234375,2546.300048828125,38147,0.0,0.0
2025-09-30 00:00:00+05:30,2531.0,2589.800048828125,2531.0,2578.60009765625,23687,0.0,0.0
2025-10-01 00:00:00+05:30,2600.0,2650.0,2577.0,2641.0,13939,0.0,0.0
2025-10-03 00:00:00+05:30,2644.89990234375,2688.199951171875,2632.5,2645.39990234375,19415,0.0,0.0
2025-10-06 00:00:00+05:30,2640.0,2694.89990234375,2625.0,2631.89990234375,13178,0.0,0.0
2025-10-07 00:00:00+05:30,2631.5,2658.699951171875,2612.0,2618.300048828125,7257,0.0,0.0
2025-10-08 00:00:00+05:30,2600.0,2694.5,2600.0,2658.60009765625,18907,0.0,0.0
2025-10-09 00:00:00+05:30,2659.800048828125,2670.89990234375,2611.199951171875,2621.5,18149,0.0,0.0
