Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-02 00:00:00+05:30,160.3000030517578,163.0,160.0,160.0,11250,0.0,0.0,0.0
2025-07-03 00:00:00+05:30,165.0,172.0,163.5,169.14999389648438,42000,0.0,0.0,0.0
2025-07-04 00:00:00+05:30,169.0,170.0,165.0,165.35000610351562,5250,0.0,0.0,0.0
2025-07-07 00:00:00+05:30,165.35000610351562,165.35000610351562,165.35000610351562,165.35000610351562,0,0.0,0.0,0.0
2025-07-08 00:00:00+05:30,165.35000610351562,165.35000610351562,165.35000610351562,165.35000610351562,0,0.0,0.0,0.0
2025-07-09 00:00:00+05:30,160.25,160.25,148.1999969482422,152.8000030517578,73500,0.0,0.0,0.0
2025-07-10 00:00:00+05:30,156.0,156.35000610351562,151.14999389648438,151.14999389648438,12750,0.0,0.0,0.0
2025-07-11 00:00:00+05:30,150.10000610351562,150.10000610351562,145.0,148.39999389648438,31500,0.0,0.0,0.0
2025-07-14 00:00:00+05:30,146.25,148.89999389648438,139.0,143.0,18750,0.0,0.0,0.0
2025-07-15 00:00:00+05:30,139.25,139.25,131.0,133.6999969482422,32250,0.0,0.0,0.0
2025-07-16 00:00:00+05:30,137.5,143.9499969482422,130.0,142.75,23250,0.0,0.0,0.0
2025-07-17 00:00:00+05:30,148.75,148.75,144.0,147.4499969482422,6750,0.0,0.0,0.0
2025-07-18 00:00:00+05:30,146.35000610351562,160.0,136.0,144.64999389648438,85500,0.0,0.0,0.0
2025-07-21 00:00:00+05:30,144.0,144.0,143.85000610351562,143.85000610351562,1500,0.0,0.0,0.0
2025-07-22 00:00:00+05:30,143.60000610351562,143.60000610351562,136.0,139.5500030517578,10500,0.0,0.0,0.0
2025-07-23 00:00:00+05:30,145.0,150.89999389648438,145.0,148.5,18000,0.0,0.0,0.0
2025-07-24 00:00:00+05:30,142.25,143.0,142.1999969482422,143.0,2250,0.0,0.0,0.0
2025-07-25 00:00:00+05:30,142.60000610351562,154.60000610351562,142.60000610351562,152.1999969482422,21000,0.0,0.0,0.0
2025-07-28 00:00:00+05:30,153.0,155.5,149.0,154.89999389648438,28500,0.0,0.0,0.0
2025-07-29 00:00:00+05:30,154.0,156.0,140.0,144.4499969482422,60000,0.0,0.0,0.0
2025-07-30 00:00:00+05:30,145.0,148.89999389648438,145.0,146.0,17250,0.0,0.0,0.0
2025-07-31 00:00:00+05:30,147.89999389648438,148.5,147.89999389648438,148.5,7500,0.0,0.0,0.0
2025-08-01 00:00:00+05:30,144.0500030517578,144.0500030517578,143.10000610351562,143.25,3750,0.0,0.0,0.0
2025-08-04 00:00:00+05:30,143.10000610351562,144.0,143.10000610351562,143.39999389648438,6000,0.0,0.0,0.0
2025-08-05 00:00:00+05:30,145.0,146.89999389648438,139.5,141.9499969482422,23250,0.0,0.0,0.0
2025-08-06 00:00:00+05:30,140.0500030517578,143.0500030517578,138.0,140.0,26250,0.0,0.0,0.0
2025-08-07 00:00:00+05:30,139.8000030517578,141.14999389648438,137.0,139.6999969482422,27750,0.0,0.0,0.0
2025-08-08 00:00:00+05:30,140.5,141.89999389648438,137.14999389648438,141.89999389648438,3750,0.0,0.0,0.0
2025-08-11 00:00:00+05:30,140.75,141.4499969482422,140.75,141.4499969482422,1500,0.0,0.0,0.0
2025-08-12 00:00:00+05:30,141.39999389648438,141.4499969482422,141.0,141.0,5250,0.0,0.0,0.0
2025-08-13 00:00:00+05:30,141.0,154.0,135.0,149.8000030517578,70500,0.0,0.0,0.0
2025-08-14 00:00:00+05:30,155.0,156.5,146.0,148.64999389648438,29250,0.0,0.0,0.0
2025-08-18 00:00:00+05:30,150.0,150.0,147.0500030517578,149.60000610351562,26250,0.0,0.0,0.0
2025-08-19 00:00:00+05:30,150.0,159.64999389648438,150.0,157.89999389648438,36000,0.0,0.0,0.0
2025-08-20 00:00:00+05:30,157.0,159.0,153.0,155.0500030517578,24750,0.0,0.0,0.0
2025-08-21 00:00:00+05:30,155.0,155.0,150.0,151.0,30000,0.0,0.0,0.0
2025-08-22 00:00:00+05:30,151.0,154.4499969482422,146.0,147.35000610351562,20250,0.0,0.0,0.0
2025-08-25 00:00:00+05:30,147.0,151.0,147.0,149.14999389648438,15750,0.0,0.0,0.0
2025-08-26 00:00:00+05:30,144.5,150.0,140.0,150.0,40500,0.0,0.0,0.0
2025-08-28 00:00:00+05:30,149.5500030517578,150.0,149.5500030517578,150.0,8250,0.0,0.0,0.0
2025-08-29 00:00:00+05:30,150.0,150.0,150.0,150.0,26250,0.0,0.0,0.0
2025-09-01 00:00:00+05:30,150.0,150.5,150.0,150.5,10500,0.0,0.0,0.0
2025-09-02 00:00:00+05:30,151.0,151.0,150.0,150.0,8250,0.0,0.0,0.0
2025-09-03 00:00:00+05:30,150.0,150.0,147.5,148.75,12000,0.0,0.0,0.0
2025-09-04 00:00:00+05:30,145.64999389648438,152.5,144.1999969482422,150.25,23250,0.0,0.0,0.0
2025-09-05 00:00:00+05:30,150.25,152.10000610351562,150.0,150.0,15000,0.0,0.0,0.0
2025-09-08 00:00:00+05:30,145.0500030517578,158.0,145.0500030517578,151.0,6000,0.0,0.0,0.0
2025-09-09 00:00:00+05:30,157.39999389648438,159.0,147.0,148.0,41250,0.0,0.0,0.0
2025-09-10 00:00:00+05:30,147.60000610351562,147.60000610351562,146.5,146.5,2250,0.0,0.0,0.0
2025-09-11 00:00:00+05:30,147.0,147.0,142.5,143.89999389648438,11250,0.0,0.0,0.0
2025-09-12 00:00:00+05:30,147.0,157.75,147.0,155.0,35250,0.0,0.0,0.0
2025-09-15 00:00:00+05:30,154.5,154.5,150.0500030517578,152.25,2250,0.0,0.0,0.0
2025-09-16 00:00:00+05:30,152.25,158.0,149.9499969482422,153.9499969482422,30750,0.0,0.0,0.0
2025-09-17 00:00:00+05:30,157.10000610351562,159.3000030517578,156.0,159.0,10500,0.0,0.0,0.0
2025-09-18 00:00:00+05:30,160.0,163.60000610351562,160.0,162.1999969482422,17250,0.0,0.0,0.0
2025-09-19 00:00:00+05:30,164.0,164.0,160.0,163.35000610351562,8250,0.0,0.0,0.0
2025-09-22 00:00:00+05:30,164.9499969482422,164.9499969482422,159.0,160.0500030517578,5250,0.0,0.0,0.0
2025-09-23 00:00:00+05:30,160.0500030517578,160.0500030517578,160.0500030517578,160.0500030517578,1500,0.0,0.0,0.0
2025-09-24 00:00:00+05:30,161.0,168.64999389648438,160.0500030517578,166.85000610351562,27750,0.0,0.0,0.0
2025-09-25 00:00:00+05:30,162.0500030517578,165.89999389648438,162.0,162.85000610351562,6750,0.0,0.0,0.0
2025-09-26 00:00:00+05:30,162.0,162.0,150.0,152.0500030517578,24750,0.0,0.0,0.0
